#|1|0|Car|ABC123|2021-01-27 15:35:48
§|2|0|MC|MED287|2021-01-27 10:36:09|MC|MCA231|2021-01-28 10:22:26
#|3|0|Car|CCD45888|2021-01-28 16:03:28
#|4|0|Car|MCA12A|2021-01-27 11:22:15
¤|5|4
¤|6|4
#|7|0|Car|AER242|2021-01-24 10:50:19
#|8|0|Car|AEG783|2020-12-24 06:23:24
¤|9|4
#|10|2|MC|ARG66|2021-01-15 11:55:42
§|11|0|MC|MAD435|2021-01-28 10:23:46|MC|MM5555|2021-01-27 07:48:00
#|12|0|Car|MIN817|2021-01-20 07:35:16
¤|13|4
¤|14|4
¤|15|4
¤|16|4
¤|17|4
¤|18|4
¤|19|4
¤|20|4
¤|21|4
#|22|0|Car|ABG889|2021-01-22 18:21:43
¤|23|4
¤|24|4
¤|25|4
¤|26|4
¤|27|4
¤|28|4
¤|29|4
#|30|0|Car|GSG747|2021-01-10 12:36:14
¤|31|4
¤|32|4
¤|33|4
¤|34|4
¤|35|4
¤|36|4
¤|37|4
¤|38|4
¤|39|4
¤|40|4
#|41|0|Car|AGG888|2021-01-28 10:23:31
¤|42|4
¤|43|4
¤|44|4
¤|45|4
¤|46|4
¤|47|4
¤|48|4
¤|49|4
#|50|0|Car|EDA123|2021-01-27 11:20:59
¤|51|4
¤|52|4
¤|53|4
¤|54|4
¤|55|4
¤|56|4
¤|57|4
¤|58|4
#|59|2|MC|MNM181|2021-01-07 22:34:38
#|60|0|Car|HOH159|2021-01-24 14:36:18
¤|61|4
¤|62|4
¤|63|4
¤|64|4
¤|65|4
¤|66|4
¤|67|4
¤|68|4
¤|69|4
¤|70|4
¤|71|4
¤|72|4
¤|73|4
#|74|0|Car|JOJ568|2021-01-27 11:23:13
¤|75|4
¤|76|4
¤|77|4
¤|78|4
#|79|0|Car|HEH545|2021-01-28 09:23:13
¤|80|4
¤|81|4
¤|82|4
¤|83|4
¤|84|4
¤|85|4
¤|86|4
¤|87|4
¤|88|4
¤|89|4
#|90|2|MC|MCED874|2021-01-27 12:36:04
¤|91|4
¤|92|4
¤|93|4
¤|94|4
¤|95|4
¤|96|4
¤|97|4
¤|98|4
¤|99|4
#|100|0|Car|GAG774|2021-01-28 16:01:23
